1, 63 62 69 65 64 72 69 69;
2, 65 69 75 74 64 69 72 69;
3, 68 69 69 79 79 63 72 76;
4, 68 69 71 72 75 76 80 81;
5, 69 70 71 72 73 74 75 76;
6, 69 70 71 72 76 75 74 72;
7, 69 71 72 69 71 72 73 71;
8, 69 71 72 74 75 76 75 72;
9, 69 72 74 75 78 80 81 84;
10, 69 72 75 71 74 77 75 72;
11, 69 72 76 79 83 81 79 76;
12, 69 72 76 81 79 75 72 69;
13, 71 69 71 72 71 72 74 75;
14, 71 69 71 72 71 72 71 69;
15, 71 69 71 72 74 72 74 75;
16, 72 68 69 79 77 78 75 76;
17, 72 74 72 71 72 71 69 69;
18, 72 74 75 72 74 75 77 74;
19, 74 72 69 72 76 75 74 72;
20, 74 72 74 75 74 72 74 75;
21, 74 75 76 77 78 79 80 81;
22, 74 75 79 75 74 72 71 72;
23, 74 75 81 74 74 72 69 64;
24, 74 76 79 76 72 72 74 81;
25, 75 74 75 74 74 72 69 69;
26, 75 74 75 77 75 74 72 71;
27, 75 76 81 72 71 69 68 69;
28, 75 76 81 72 71 76 69 69;
29, 75 78 76 69 71 74 72 64;
30, 76 69 72 68 71 67 66 64;
31, 76 75 74 72 71 72 74 77;
32, 79 76 74 71 75 75 72 69;
33, 79 76 74 78 72 72 69 69;
34, 80 81 80 81 80 81 80 81;
35, 81 76 72 79 72 76 81 81;
36, 81 76 72 69 79 75 72 69;
